Year,Real ounce closing price USD,Nominal ounce closing price USD
1791,1.29,1.29
1792,1.28,1.28
1793,1.29,1.29
1794,1.26,1.26
1795,1.25,1.25
1796,1.24,1.24
1797,1.26,1.26
1798,1.24,1.24
1799,1.23,1.23
1800,1.24,1.24
1801,1.25,1.25
1802,1.27,1.27
1803,1.26,1.26
1804,1.26,1.26
1805,1.23,1.23
1806,1.25,1.25
1807,1.26,1.26
1808,1.21,1.21
1809,1.21,1.21
1810,1.23,1.23
1811,1.25,1.25
1812,1.2,1.2
1813,1.19,1.19
1814,1.34,1.34
1815,1.42,1.42
1816,1.37,1.37
1817,1.29,1.29
1818,1.26,1.26
1819,1.26,1.26
1820,1.24,1.24
1821,1.22,1.22
1822,1.23,1.23
1823,1.22,1.22
1824,1.23,1.23
1825,1.24,1.24
1826,1.23,1.23
1827,1.23,1.23
1828,1.23,1.23
1829,1.23,1.23
1830,1.23,1.23
1831,1.23,1.23
1832,1.23,1.23
1833,1.22,1.22
1834,1.27,1.27
1835,1.31,1.31
1836,1.32,1.32
1837,1.37,1.37
1838,1.32,1.32
1839,1.32,1.32
1840,1.32,1.32
1841,1.32,1.32
1842,1.3,1.3
1843,1.3,1.3
1844,1.3,1.3
1845,1.3,1.3
1846,1.3,1.3
1847,1.31,1.31
1848,1.3,1.3
1849,1.31,1.31
1850,1.32,1.32
1851,1.34,1.34
1852,1.33,1.33
1853,1.35,1.35
1854,1.35,1.35
1855,1.34,1.34
1856,1.34,1.34
1857,1.36,1.36
1858,1.34,1.34
1859,1.36,1.36
1860,1.35,1.35
1861,1.33,1.33
1862,1.53,1.53
1863,1.95,1.95
1864,2.73,2.73
1865,2.11,2.11
1866,1.89,1.89
1867,1.83,1.83
1868,1.85,1.85
1869,1.76,1.76
1870,1.53,1.53
1871,1.48,1.48
1872,1.49,1.49
1873,1.48,1.48
1874,1.42,1.42
1875,1.43,1.43
1876,1.3,1.3
1877,1.26,1.26
1878,1.16,1.16
1879,1.12,1.12
1880,1.15,1.15
1881,1.13,1.13
1882,1.14,1.14
1883,1.11,1.11
1884,1.11,1.11
1885,1.06,1.06
1886,0.99,0.99
1887,0.98,0.98
1888,0.94,0.94
1889,0.94,0.94
1890,1.05,1.05
1891,0.99,0.99
1892,0.87,0.87
1893,0.78,0.78
1894,0.63,0.63
1895,0.65,0.65
1896,0.68,0.68
1897,0.6,0.6
1898,0.59,0.59
1899,0.6,0.6
1900,0.62,0.62
1901,0.6,0.6
1902,0.53,0.53
1903,0.54,0.54
1904,0.58,0.58
1905,0.61,0.61
1906,0.68,0.68
1907,0.66,0.66
1908,0.53,0.53
1909,0.52,0.52
1910,0.54,0.54
1911,0.54,0.54
1912,0.61,0.61
1913,15,0.6
1914,13.75,0.55
1915,12.75,0.51
1916,13.87163561,0.67
1917,15.27272727,0.84
1918,15.26479751,0.98
1919,15.09433962,1.12
1920,11.88811189,1.02
1921,8.213820078,0.63
1922,9.714285714,0.68
1923,9.285714286,0.65
1924,9.571428571,0.67
1925,9.2,0.69
1926,8,0.62
1927,8.050847458,0.57
1928,8.285714286,0.58
1929,7.571428571,0.53
1930,5.428571429,0.38
1931,4.461538462,0.29
1932,4.666666667,0.28
1933,6.272401434,0.35
1934,8,0.48
1935,10.83333333,0.65
1936,7.5,0.45
1937,7.5,0.45
1938,7.333333333,0.44
1939,6.5,0.39
1940,5.833333333,0.35
1941,5.6,0.35
1942,5.571428571,0.39
1943,6.428571429,0.45
1944,5.936675462,0.45
1945,6.5,0.52
1946,9.501187648,0.8
1947,7.578947368,0.72
1948,7.4,0.74
1949,7.2,0.72
1950,7.219512195,0.74
1951,8.090909091,0.89
1952,7.727272727,0.85
1953,7.502206531,0.85
1954,7.391304348,0.85
1955,8.032490975,0.89
1956,7.797772065,0.91
1957,7.583333333,0.91
1958,7.416666667,0.89
1959,7.380373074,0.91
1960,7,0.91
1961,7.153846154,0.93
1962,8.384615385,1.09
1963,9.846153846,1.28
1964,9.923076923,1.29
1965,9.499263623,1.29
1966,9.214285714,1.29
1967,11.07142857,1.55
1968,14.5936255,2.189043825
1969,11.42507187,1.799448819
1970,10.59246974,1.765764706
1971,8.997506988,1.536774194
1972,9.313932981,1.676507937
1973,13.4,2.546
1974,22.16135756,4.671614173
1975,19.24152687,4.425551181
1976,17.82739959,4.35345098
1977,17.94471176,4.635119048
1978,19.41985605,5.42202381
1979,35.61102039,11.06790514
1980,59.52755906,20.98346457
1981,27.00719142,10.48689243
1982,19.2044252,7.921825397
1983,26.82019616,11.42003953
1984,18.32848704,8.141513944
1985,13.35334867,6.131857708
1986,11.64685328,5.464703557
1987,14.44116071,7.015515873
1988,12.93554573,6.532450593
1989,10.37720875,5.499920635
1990,8.654023826,4.831541502
1991,6.954299139,4.056442688
1992,6.568931713,3.946614173
1993,6.984429758,4.312885375
1994,8.345614681,5.285277778
1995,7.964848264,5.197063492
1996,7.751292381,5.199566929
1997,7.140329461,4.896837945
1998,7.95109185,5.539525692
1999,7.333212897,5.219047619
2000,6.738108789,4.95250996
2001,5.768924719,4.369960474
2002,5.979259012,4.599246032
2003,6.194918125,4.878498024
2004,8.245337754,6.658110236
2005,8.756439502,7.311626984
2006,13.40290787,11.54928571
2007,15.09380387,13.38367589
2008,16.26240113,14.98905512
2009,16.03745221,14.67426877
2010,21.67311994,20.19284585
2011,36.48748383,35.11920319
2012,31.78543084,31.14972222
2013,23.88867389,23.80984127
2014,18.56516724,18.79723183
2015,15.51388511,15.72021978
2016,17.10423497,17.10423497
2017,17.07857988,17.07857988
2018,15.70574176,15.70574176
2019,16.20011019,16.20011019
2020,20.52693151,20.52693151
